Combo,Weight,EV
Td5c5s2s,5.942416305928619E-19,-53999.9999999993
QcTd5s2s,1.4093594984221603E-16,-54000.0000000001
QcJd5s2s,8.145324891296381E-17,-53999.99999999983
QdTc5s2s,1.4093594984221603E-16,-54000.0000000001
QdJc5s2s,8.145324891296381E-17,-53999.99999999983
8c5c5s2s,9.617784255549157E-17,-53999.9999999999
Qc5c5s2s,1.9278980488254436E-16,-53999.99999999964
Jc7c5s2s,1.1789138558195104E-17,-54000.000000000284
Ac7c5s2s,3.9861563640432525E-14,-54000.00000000003
Jc8c5s2s,2.72079874340768E-16,-53999.99999999999
Ac8c5s2s,2.1358422555788616E-14,-54000.00000000016
Kc9c5s2s,1.578454355941525E-16,-54000.00000000036
9s7s6s2s,5.020077042020442E-15,-53999.999999999454
9h7s6s2s,2.1133622606130185E-16,-54000.00000000001
Jh7s6s2s,9.66912073436565E-18,-54000.0000000007
9d7s6s2s,2.1133622606130185E-16,-54000.00000000001
Jd7s6s2s,9.66912073436565E-18,-54000.0000000007
9c7s6s2s,2.1133622606130185E-16,-54000.00000000001
Jc7s6s2s,9.66912073436565E-18,-54000.0000000007
9s8s6s2s,2.081847685603228E-14,-53999.999999999985
Th8s6s2s,1.2729700603842428E-15,-53999.99999999992
Qh8s6s2s,3.0611854595538037E-15,-53999.99999999996
Td8s6s2s,1.2729700603842428E-15,-53999.99999999992
Qd8s6s2s,3.0611854595538037E-15,-53999.99999999996
Tc8s6s2s,1.2729700603842428E-15,-53999.99999999992
Qc8s6s2s,3.0611854595538037E-15,-53999.99999999996
Js9s6s2s,1.7238290160304413E-15,-54000.00000000015
Qs9s6s2s,1.3788816155910202E-14,-54000.000000000015
Ks9s6s2s,1.0632436042954609E-14,-53999.999999999665
9s6s3h2s,4.1543341956643293E-16,-53999.99999999954
9s6s5h2s,2.0836376890002713E-16,-54000.00000000046
Qh9s6s2s,2.986136818285689E-16,-54000.00000000004
9s6s3d2s,4.1543341956643293E-16,-53999.99999999954
9s6s5d2s,2.0836376890002713E-16,-54000.00000000046
Qd9s6s2s,2.986136818285689E-16,-54000.00000000004
9s6s3c2s,4.1543341956643293E-16,-53999.99999999954
9s6s5c2s,2.0836376890002713E-16,-54000.00000000046
Qc9s6s2s,2.986136818285689E-16,-54000.00000000004
AsTs6s2s,1.4427617454967132E-14,-53999.99999999975
Ts6h6s2s,5.050784692524757E-15,-54000.0000000007
Ts8h6s2s,2.1529679432222698E-16,-54000.00000000074
JhTs6s2s,1.730920422070734E-16,-53999.99999999942
AhTs6s2s,3.069462678178286E-15,-53999.999999999716
Ts6d6s2s,5.050784692524757E-15,-54000.0000000007
Ts8d6s2s,2.1529679432222698E-16,-54000.00000000074
JdTs6s2s,1.730920422070734E-16,-53999.99999999942
AdTs6s2s,3.069462678178286E-15,-53999.999999999716
Ts6c6s2s,5.050784692524757E-15,-54000.0000000007
Ts8c6s2s,2.1529679432222698E-16,-54000.00000000074
JcTs6s2s,1.730920422070734E-16,-53999.99999999942
AcTs6s2s,3.069462678178286E-15,-53999.999999999716
AsJs6s2s,4.429310809508961E-15,-54000.00000000023
Js6s5h2s,8.133074520240801E-16,-53999.999999999614
Js8h6s2s,1.7818383889490078E-15,-53999.99999999971
AhJs6s2s,2.7066755560850794E-16,-53999.999999999505
Js6s5d2s,8.133074520240801E-16,-53999.999999999614
Js8d6s2s,1.7818383889490078E-15,-53999.99999999971
AdJs6s2s,2.7066755560850794E-16,-53999.999999999505
Js6s5c2s,8.133074520240801E-16,-53999.999999999614
Js8c6s2s,1.7818383889490078E-15,-53999.99999999971
AcJs6s2s,2.7066755560850794E-16,-53999.999999999505
AsQs6s2s,3.05657092627939E-15,-53999.999999999534
Qs6s3h2s,1.7221361115405E-16,-54000.000000000306
Qs8h6s2s,4.370170591563262E-18,-53999.999999999374
Qs6s3d2s,1.7221361115405E-16,-54000.000000000306
Qs8d6s2s,4.370170591563262E-18,-53999.999999999374
Qs6s3c2s,1.7221361115405E-16,-54000.000000000306
Qs8c6s2s,4.370170591563262E-18,-53999.999999999374
Ks6s4h2s,5.007596486486821E-16,-54000.0000000006
Ks6h6s2s,8.572861407929867E-16,-53999.999999999935
KsJh6s2s,5.489335654065965E-15,-54000.00000000005
Ks6s4d2s,5.007596486486821E-16,-54000.0000000006
Ks6d6s2s,8.572861407929867E-16,-53999.999999999935
KsJd6s2s,5.489335654065965E-15,-54000.00000000005
Ks6s4c2s,5.007596486486821E-16,-54000.0000000006
Ks6c6s2s,8.572861407929867E-16,-53999.999999999935
KsJc6s2s,5.489335654065965E-15,-54000.00000000005
As8h6s2s,5.144267338134918E-17,-53999.99999999965
AsTh6s2s,1.545019064019687E-15,-53999.99999999923
As8d6s2s,5.144267338134918E-17,-53999.99999999965
AsTd6s2s,1.545019064019687E-15,-53999.99999999923
As8c6s2s,5.144267338134918E-17,-53999.99999999965
AsTc6s2s,1.545019064019687E-15,-53999.99999999923
6s4h2h2s,1.1144737588718337E-16,-54000.00000000016
Qh6s2h2s,3.7845835809836307E-16,-54000.00000000019
Td6s2h2s,1.9188494162490056E-15,-54000.00000000012
Ad6s2h2s,1.0953822664618364E-17,-53999.99999999977
Tc6s2h2s,1.9188494162490056E-15,-54000.00000000012
Ac6s2h2s,1.0953822664618364E-17,-53999.99999999977
6s4h3h2s,5.458385069288901E-19,-54000.00000000036
6h6s3h2s,1.594103852836107E-16,-54000.00000000037
Th6s3h2s,1.797860053926905E-16,-53999.99999999992
Ah6s3h2s,5.155506067613328E-16,-53999.99999999977
Jd6s3h2s,6.358949236075136E-17,-53999.99999999995
Jc6s3h2s,6.358949236075136E-17,-53999.99999999995
8d6s4h2s,1.990048648631839E-17,-54000.00000000025
9d6s4h2s,5.5470840836854353E-17,-54000.000000000815
Kd6s4h2s,1.4602076842971642E-16,-53999.999999999876
8c6s4h2s,1.990048648631839E-17,-54000.00000000025
9c6s4h2s,5.5470840836854353E-17,-54000.000000000815
Kc6s4h2s,1.4602076842971642E-16,-53999.999999999876
7h6h6s2s,2.2141320933221122E-16,-54000.000000000204
7d7h6s2s,5.437204918457515E-16,-53999.999999999825
8d7h6s2s,3.0061842274864906E-17,-54000.00000000019
7c7h6s2s,5.437204918457515E-16,-53999.999999999825
8c7h6s2s,3.0061842274864906E-17,-54000.00000000019
Jh8h6s2s,8.051213493631792E-16,-53999.99999999983
Kh8h6s2s,4.2222627013679503E-16,-53999.999999999956
8h6s4d2s,1.990048648631839E-17,-54000.00000000025
8h7d6s2s,3.0061842274864906E-17,-54000.00000000019
8h6s4c2s,1.990048648631839E-17,-54000.00000000025
8h7c6s2s,3.0061842274864906E-17,-54000.00000000019
Th9h6s2s,2.685122672538837E-16,-54000.0000000003
9h6s4d2s,5.5470840836854353E-17,-54000.000000000815
9h6s4c2s,5.5470840836854353E-17,-54000.000000000815
QhTh6s2s,1.3897788028181185E-15,-53999.99999999927
Th6s2d2s,1.9188494162490056E-15,-54000.00000000012
TdTh6s2s,1.6232916696217111E-15,-54000.00000000022
Th6s2c2s,1.9188494162490056E-15,-54000.00000000012
TcTh6s2s,1.6232916696217111E-15,-54000.00000000022
Jh6s3d2s,6.358949236075136E-17,-53999.99999999995
Jh6s3c2s,6.358949236075136E-17,-53999.99999999995
Kh6s4d2s,1.4602076842971642E-16,-53999.999999999876
KdKh6s2s,6.633400445722512E-18,-53999.99999999985
